Id,SalePrice
1461,126617.0
1462,159605.11
1463,183007.56
1464,186731.08
1465,201285.75
1466,171290.28
1467,171706.84
1468,171602.62
1469,175246.36
1470,124137.664
1471,202142.95
1472,96244.26
1473,101597.56
1474,152741.39
1475,131066.72
1476,414844.25
1477,259906.45
1478,320605.7
1479,242705.08
1480,509010.1
1481,323916.16
1482,205162.17
1483,178859.7
1484,169351.7
1485,175137.88
1486,200600.36
1487,340072.8
1488,224667.98
1489,217231.61
1490,203819.67
1491,184660.2
1492,88453.6
1493,172255.56
1494,294444.56
1495,279278.25
1496,223340.14
1497,196528.89
1498,158622.45
1499,155035.36
1500,151172.42
1501,184052.58
1502,163517.62
1503,314897.75
1504,231260.08
1505,217762.36
1506,186258.28
1507,232317.88
1508,204247.2
1509,162943.62
1510,141471.73
1511,143728.64
1512,168033.7
1513,150069.81
1514,172964.08
1515,189942.6
1516,158129.38
1517,156034.56
1518,126448.555
1519,218204.48
1520,135407.62
1521,138407.38
1522,160664.39
1523,110113.56
1524,123637.35
1525,124086.33
1526,117231.66
1527,103249.06
1528,128363.04
1529,144294.7
1530,175204.31
1531,116213.836
1532,107258.75
1533,145344.16
1534,116210.72
1535,160581.75
1536,114971.8
1537,65258.76
1538,177804.11
1539,172008.5
1540,110711.36
1541,146847.02
1542,151511.72
1543,234587.88
1544,81532.18
1545,106375.22
1546,129084.96
1547,146816.77
1548,133322.33
1549,112752.85
1550,148314.45
1551,118222.12
1552,142244.95
1553,148561.1
1554,117067.03
1555,185720.5
1556,94240.89
1557,111973.234
1558,90015.55
1559,96727.28
1560,133788.78
1561,142915.33
1562,119196.11
1563,116954.73
1564,154140.64
1565,154162.39
1566,213501.12
1567,71668.86
1568,229441.72
1569,151263.11
1570,132959.52
1571,134333.11
1572,148910.2
1573,242770.97
1574,106237.9
1575,208112.11
1576,229257.73
1577,211373.38
1578,156701.4
1579,144539.3
1580,191174.06
1581,147373.86
1582,127237.79
1583,334302.47
1584,239050.98
1585,138078.6
1586,65954.11
1587,95398.86
1588,150231.56
1589,103220.02
1590,133300.16
1591,103612.9
1592,127413.28
1593,116517.75
1594,127106.24
1595,112002.64
1596,246109.16
1597,171348.66
1598,198992.52
1599,195431.02
1600,193753.17
1601,73468.04
1602,113819.08
1603,81643.83
1604,275756.25
1605,233707.14
1606,171337.11
1607,159541.97
1608,210705.66
1609,201892.06
1610,164479.98
1611,141251.52
1612,155041.73
1613,162895.9
1614,121247.85
1615,87075.49
1616,75828.52
1617,83402.74
1618,125900.35
1619,134520.14
1620,163757.16
1621,135446.2
1622,144133.44
1623,298443.1
1624,226492.02
1625,117082.766
1626,168720.11
1627,186853.6
1628,273429.7
1629,179379.58
1630,399471.0
1631,221407.4
1632,258737.64
1633,171775.38
1634,186887.5
1635,179303.52
1636,157147.86
1637,173313.14
1638,207321.34
1639,182158.45
1640,250828.8
1641,177976.45
1642,226258.05
1643,220648.66
1644,232658.75
1645,206344.75
